Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality
EH6 7RQ,No,55.974881,-3.166643,327290,676379,NT272763,"Leith","",1985-09-01,1992-07-01,8,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7RS,No,55.972959,-3.146524,328542,676144,NT285761,"Leith","",1999-06-01,2000-06-01,7,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WA,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",1999-06-01,2000-06-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7WB,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2002-07-01,2002-07-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WD,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",1999-06-01,1999-12-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7WE,No,55.971702,-3.159818,327710,676018,NT277760,"Leith","",2001-01-01,2001-02-01,8,Scotland,2019-02-23,"Postcode sector mean (mainly PO Boxes)"
EH6 7WF,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2000-12-01,2005-09-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WH,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2001-06-01,2005-09-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WP,No,55.974781,-3.165919,327335,676368,NT273763,"Leith","",2008-05-01,2008-10-01,8,Scotland,2019-02-23,"Postcode unit mean (mean of matched addresses with the same postcode but not snapped to a building)"
EH6 7WQ,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2008-02-01,2010-03-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WR,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2007-11-01,2010-12-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WS,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2008-01-01,2011-01-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WT,No,55.972551,-3.177373,326616,676131,NT266761,"Leith","",2007-01-01,2008-01-01,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7WU,No,55.956737,-3.124486,329888,674317,NT298743,"Craigentinny/Duddingston","",2006-11-01,2018-12-01,15,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
